Date,Open,High,Low,Close,Volume
2010-05-11,31.795,32.79,31.607,32.367,240135622
2010-05-12,32.758,33.199,32.638,33.069,185006514
2010-05-13,33.213,33.435,32.35,32.595,169516968
2010-05-14,32.202,32.361,31.478,32.022,214449731
2010-05-17,32.067,32.321,31.254,32.073,215605479
2010-05-18,32.431,32.621,31.576,31.84,220715395
2010-05-19,31.475,31.911,30.892,31.334,289984746
2010-05-20,30.457,30.767,29.8,29.997,361868767
2010-05-21,29.227,30.847,29.188,30.572,346246727
2010-05-24,31.195,31.655,31.073,31.131,213187237
2010-05-25,30.266,31.131,29.925,30.937,295989826
2010-05-26,31.568,31.811,30.753,30.801,240356442
2010-05-27,31.633,32.031,31.428,31.964,187214847
2010-05-28,32.699,32.729,31.964,32.409,230600713
2010-06-01,32.766,33.555,32.673,32.907,247427617
2010-06-02,33.4,33.407,32.846,33.304,194423359
2010-06-03,33.459,33.504,32.855,33.198,183822167
2010-06-04,32.61,33.044,32.127,32.294,214117553
2010-06-07,32.597,32.696,31.612,31.659,250571004
2010-06-08,31.968,32.021,30.993,31.454,283002716
2010-06-09,31.739,31.783,30.594,30.684,241318245
2010-06-10,30.886,31.664,30.556,31.609,219120080
2010-06-11,31.312,32.028,31.208,31.985,154173477
2010-06-14,32.31,32.696,32.047,32.08,170383635
2010-06-15,32.247,32.785,32.236,32.765,165182113
2010-06-16,32.93,33.783,32.882,33.716,221486296
2010-06-17,34.153,34.433,34.003,34.301,246697805
2010-06-18,34.347,34.697,34.246,34.578,221868910
2010-06-21,35.044,35.201,33.904,34.089,218783291
2010-06-22,34.347,34.818,34.254,34.55,202558639
2010-06-23,34.64,34.653,33.802,34.187,217267500
2010-06-24,34.187,34.469,33.828,33.938,202101903
2010-06-25,34.07,34.1,33.536,33.65,154782021
2010-06-28,33.684,34.034,33.373,33.852,165531711
2010-06-29,33.356,33.356,32.083,32.32,320208429
2010-06-30,32.391,32.547,31.547,31.735,208969851
2010-07-01,32.061,32.147,30.687,31.353,289337187
2010-07-02,31.629,31.658,30.684,31.155,196400365
2010-07-06,31.155,31.897,31.061,31.372,173930144
2010-07-07,31.621,32.648,31.511,32.634,184769849
2010-07-08,33.127,33.169,32.158,32.563,208645677
2010-07-09,32.412,32.791,32.195,32.756,122584716
2010-07-12,32.618,33.037,32.154,32.463,159073197
2010-07-13,32.325,32.35,31.093,31.771,336137415
2010-07-14,31.437,32.271,31.415,31.887,229823025
2010-07-15,31.325,32.422,31.198,31.723,232257375
2010-07-16,31.928,32.17,31.343,31.531,293882815
2010-07-19,31.509,31.528,30.23,30.984,289717823
2010-07-20,30.592,31.909,30.281,31.783,299577057
2010-07-21,33.433,33.452,32.045,32.074,335137653
2010-07-22,32.517,32.804,32.212,32.68,182476136
2010-07-23,32.452,32.853,32.334,32.797,150872522
2010-07-26,32.802,32.817,32.516,32.713,117988127
2010-07-27,32.887,33.407,32.842,33.321,164396440
2010-07-28,33.269,33.562,32.835,32.924,146944939
2010-07-29,32.892,33.135,32.312,32.566,182116543
2010-07-30,32.265,32.766,32.16,32.457,126850635
2010-08-02,32.858,33.128,32.756,33.037,120704499
2010-08-03,33.037,33.213,32.732,33.049,117880483
2010-08-04,33.15,33.344,32.843,33.178,118951293
2010-08-05,32.99,33.204,32.872,33.018,81818444
2010-08-06,32.766,32.991,32.504,32.816,125858103
2010-08-09,32.991,33.077,32.751,33.025,85578458
2010-08-10,32.785,32.859,32.497,32.73,127816089
2010-08-11,32.193,32.257,31.519,31.566,174935704
2010-08-12,31.112,31.933,31.055,31.769,151218907
2010-08-13,31.67,31.782,31.425,31.427,100295496
2010-08-16,31.256,31.547,31.114,31.245,89926489
2010-08-17,31.556,32.127,31.438,31.79,119511299
2010-08-18,31.864,32.132,31.742,31.929,95735982
2010-08-19,31.894,31.98,31.377,31.528,120629809
2010-08-20,31.46,32.035,31.415,31.496,108503209
2010-08-23,31.764,31.795,30.941,31.013,116975400
2010-08-24,30.66,30.66,30.112,30.27,170057065
2010-08-25,30.27,30.784,29.931,30.646,168657864
2010-08-26,30.97,31.006,30.316,30.316,131695270
2010-08-27,30.475,30.61,29.722,30.486,155166590
2010-08-30,30.374,31.006,30.365,30.596,108321634
2010-08-31,30.506,30.856,30.324,30.672,118889982
2010-09-01,31.227,31.725,31.075,31.585,196980706
2010-09-02,31.715,31.815,31.363,31.815,117341847
2010-09-03,32.164,32.65,32.109,32.648,147251945
2010-09-07,32.366,32.746,32.331,32.529,96952541
2010-09-08,32.772,33.356,32.69,33.171,148787378
2010-09-09,33.448,33.627,33.171,33.19,123873513
2010-09-10,33.207,33.371,32.98,33.233,109664520
2010-09-13,33.556,33.849,33.531,33.691,109883452
2010-09-14,33.583,33.96,33.501,33.822,114730808
2010-09-15,33.813,34.114,33.795,34.093,120947332
2010-09-16,34.1,34.905,34.003,34.894,184033864
2010-09-17,35.015,35.069,34.53,34.742,179446713
2010-09-20,34.835,35.803,34.805,35.735,186391016
2010-09-21,35.808,36.255,35.678,35.803,188653993
2010-09-22,35.693,36.332,35.63,36.304,165522787
2010-09-23,36.146,36.938,36.083,36.453,222166894
2010-09-24,36.84,37.035,36.657,36.88,183413152
2010-09-27,37.092,37.184,36.717,36.735,136579885
2010-09-28,36.803,36.813,34.697,36.193,292753187
2010-09-29,36.231,36.564,36.083,36.257,132758280
2010-09-30,36.462,36.588,35.484,35.8,190443811
2010-10-01,36.125,36.158,35.497,35.646,126834150
2010-10-04,35.541,35.693,35.047,35.156,123017746
2010-10-05,35.624,36.518,35.558,36.456,141439120
2010-10-06,36.55,36.839,35.991,36.488,189352962
2010-10-07,36.631,36.649,36.199,36.492,115354377
